,island_Biscoe,island_Dream,island_Torgersen,species_Adelie,species_Chinstrap,species_Gentoo,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
0,0,0,1,1,0,0,39.1,18.7,181.0,3750.0,1
1,0,0,1,1,0,0,39.5,17.4,186.0,3800.0,0
2,0,0,1,1,0,0,40.3,18.0,195.0,3250.0,0
4,0,0,1,1,0,0,36.7,19.3,193.0,3450.0,0
5,0,0,1,1,0,0,39.3,20.6,190.0,3650.0,1
6,0,0,1,1,0,0,38.9,17.8,181.0,3625.0,0
7,0,0,1,1,0,0,39.2,19.6,195.0,4675.0,1
12,0,0,1,1,0,0,41.1,17.6,182.0,3200.0,0
13,0,0,1,1,0,0,38.6,21.2,191.0,3800.0,1
14,0,0,1,1,0,0,34.6,21.1,198.0,4400.0,1
15,0,0,1,1,0,0,36.6,17.8,185.0,3700.0,0
16,0,0,1,1,0,0,38.7,19.0,195.0,3450.0,0
17,0,0,1,1,0,0,42.5,20.7,197.0,4500.0,1
18,0,0,1,1,0,0,34.4,18.4,184.0,3325.0,0
19,0,0,1,1,0,0,46.0,21.5,194.0,4200.0,1
20,1,0,0,1,0,0,37.8,18.3,174.0,3400.0,0
21,1,0,0,1,0,0,37.7,18.7,180.0,3600.0,1
22,1,0,0,1,0,0,35.9,19.2,189.0,3800.0,0
23,1,0,0,1,0,0,38.2,18.1,185.0,3950.0,1
24,1,0,0,1,0,0,38.8,17.2,180.0,3800.0,1
25,1,0,0,1,0,0,35.3,18.9,187.0,3800.0,0
26,1,0,0,1,0,0,40.6,18.6,183.0,3550.0,1
27,1,0,0,1,0,0,40.5,17.9,187.0,3200.0,0
28,1,0,0,1,0,0,37.9,18.6,172.0,3150.0,0
29,1,0,0,1,0,0,40.5,18.9,180.0,3950.0,1
30,0,1,0,1,0,0,39.5,16.7,178.0,3250.0,0
31,0,1,0,1,0,0,37.2,18.1,178.0,3900.0,1
32,0,1,0,1,0,0,39.5,17.8,188.0,3300.0,0
33,0,1,0,1,0,0,40.9,18.9,184.0,3900.0,1
34,0,1,0,1,0,0,36.4,17.0,195.0,3325.0,0
35,0,1,0,1,0,0,39.2,21.1,196.0,4150.0,1
36,0,1,0,1,0,0,38.8,20.0,190.0,3950.0,1
37,0,1,0,1,0,0,42.2,18.5,180.0,3550.0,0
38,0,1,0,1,0,0,37.6,19.3,181.0,3300.0,0
39,0,1,0,1,0,0,39.8,19.1,184.0,4650.0,1
40,0,1,0,1,0,0,36.5,18.0,182.0,3150.0,0
41,0,1,0,1,0,0,40.8,18.4,195.0,3900.0,1
42,0,1,0,1,0,0,36.0,18.5,186.0,3100.0,0
43,0,1,0,1,0,0,44.1,19.7,196.0,4400.0,1
44,0,1,0,1,0,0,37.0,16.9,185.0,3000.0,0
45,0,1,0,1,0,0,39.6,18.8,190.0,4600.0,1
46,0,1,0,1,0,0,41.1,19.0,182.0,3425.0,1
48,0,1,0,1,0,0,36.0,17.9,190.0,3450.0,0
49,0,1,0,1,0,0,42.3,21.2,191.0,4150.0,1
50,1,0,0,1,0,0,39.6,17.7,186.0,3500.0,0
51,1,0,0,1,0,0,40.1,18.9,188.0,4300.0,1
52,1,0,0,1,0,0,35.0,17.9,190.0,3450.0,0
53,1,0,0,1,0,0,42.0,19.5,200.0,4050.0,1
54,1,0,0,1,0,0,34.5,18.1,187.0,2900.0,0
55,1,0,0,1,0,0,41.4,18.6,191.0,3700.0,1
56,1,0,0,1,0,0,39.0,17.5,186.0,3550.0,0
57,1,0,0,1,0,0,40.6,18.8,193.0,3800.0,1
58,1,0,0,1,0,0,36.5,16.6,181.0,2850.0,0
59,1,0,0,1,0,0,37.6,19.1,194.0,3750.0,1
60,1,0,0,1,0,0,35.7,16.9,185.0,3150.0,0
61,1,0,0,1,0,0,41.3,21.1,195.0,4400.0,1
62,1,0,0,1,0,0,37.6,17.0,185.0,3600.0,0
63,1,0,0,1,0,0,41.1,18.2,192.0,4050.0,1
64,1,0,0,1,0,0,36.4,17.1,184.0,2850.0,0
65,1,0,0,1,0,0,41.6,18.0,192.0,3950.0,1
66,1,0,0,1,0,0,35.5,16.2,195.0,3350.0,0
67,1,0,0,1,0,0,41.1,19.1,188.0,4100.0,1
68,0,0,1,1,0,0,35.9,16.6,190.0,3050.0,0
69,0,0,1,1,0,0,41.8,19.4,198.0,4450.0,1
70,0,0,1,1,0,0,33.5,19.0,190.0,3600.0,0
71,0,0,1,1,0,0,39.7,18.4,190.0,3900.0,1
72,0,0,1,1,0,0,39.6,17.2,196.0,3550.0,0
73,0,0,1,1,0,0,45.8,18.9,197.0,4150.0,1
74,0,0,1,1,0,0,35.5,17.5,190.0,3700.0,0
75,0,0,1,1,0,0,42.8,18.5,195.0,4250.0,1
76,0,0,1,1,0,0,40.9,16.8,191.0,3700.0,0
77,0,0,1,1,0,0,37.2,19.4,184.0,3900.0,1
78,0,0,1,1,0,0,36.2,16.1,187.0,3550.0,0
79,0,0,1,1,0,0,42.1,19.1,195.0,4000.0,1
80,0,0,1,1,0,0,34.6,17.2,189.0,3200.0,0
81,0,0,1,1,0,0,42.9,17.6,196.0,4700.0,1
82,0,0,1,1,0,0,36.7,18.8,187.0,3800.0,0
83,0,0,1,1,0,0,35.1,19.4,193.0,4200.0,1
84,0,1,0,1,0,0,37.3,17.8,191.0,3350.0,0
85,0,1,0,1,0,0,41.3,20.3,194.0,3550.0,1
86,0,1,0,1,0,0,36.3,19.5,190.0,3800.0,1
87,0,1,0,1,0,0,36.9,18.6,189.0,3500.0,0
88,0,1,0,1,0,0,38.3,19.2,189.0,3950.0,1
89,0,1,0,1,0,0,38.9,18.8,190.0,3600.0,0
90,0,1,0,1,0,0,35.7,18.0,202.0,3550.0,0
91,0,1,0,1,0,0,41.1,18.1,205.0,4300.0,1
92,0,1,0,1,0,0,34.0,17.1,185.0,3400.0,0
93,0,1,0,1,0,0,39.6,18.1,186.0,4450.0,1
94,0,1,0,1,0,0,36.2,17.3,187.0,3300.0,0
95,0,1,0,1,0,0,40.8,18.9,208.0,4300.0,1
96,0,1,0,1,0,0,38.1,18.6,190.0,3700.0,0
97,0,1,0,1,0,0,40.3,18.5,196.0,4350.0,1
98,0,1,0,1,0,0,33.1,16.1,178.0,2900.0,0
99,0,1,0,1,0,0,43.2,18.5,192.0,4100.0,1
100,1,0,0,1,0,0,35.0,17.9,192.0,3725.0,0
101,1,0,0,1,0,0,41.0,20.0,203.0,4725.0,1
102,1,0,0,1,0,0,37.7,16.0,183.0,3075.0,0
103,1,0,0,1,0,0,37.8,20.0,190.0,4250.0,1
104,1,0,0,1,0,0,37.9,18.6,193.0,2925.0,0
105,1,0,0,1,0,0,39.7,18.9,184.0,3550.0,1
106,1,0,0,1,0,0,38.6,17.2,199.0,3750.0,0
107,1,0,0,1,0,0,38.2,20.0,190.0,3900.0,1
108,1,0,0,1,0,0,38.1,17.0,181.0,3175.0,0
109,1,0,0,1,0,0,43.2,19.0,197.0,4775.0,1
110,1,0,0,1,0,0,38.1,16.5,198.0,3825.0,0
111,1,0,0,1,0,0,45.6,20.3,191.0,4600.0,1
112,1,0,0,1,0,0,39.7,17.7,193.0,3200.0,0
113,1,0,0,1,0,0,42.2,19.5,197.0,4275.0,1
114,1,0,0,1,0,0,39.6,20.7,191.0,3900.0,0
115,1,0,0,1,0,0,42.7,18.3,196.0,4075.0,1
116,0,0,1,1,0,0,38.6,17.0,188.0,2900.0,0
117,0,0,1,1,0,0,37.3,20.5,199.0,3775.0,1
118,0,0,1,1,0,0,35.7,17.0,189.0,3350.0,0
